Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
x264_frame_new(struct x264_t *),3,616,616,616.000000,1848.000000,2965,2965,2965.000000,8895.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,35,2409852544,
x264_frame_delete(struct x264_frame_t *),3,218,218,218.000000,654.000000,2794,3010,2938.000000,8814.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,117,2409854220,
x264_malloc(int),57,29,29,29.000000,1653.000000,142,190,142.842105,8142.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\common1.c,337,2409918368,
"Parse(int, struct x264_param_t *, struct cli_opt_t *)",1,1865,1865,1865.000000,1865.000000,7475,7475,7475.000000,7475.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,361,2409816896,
"x264_cabac_encode_init(struct x264_cabac_t *, struct bs_s *)",300,24,24,24.000000,7200.000000,24,24,24.000000,7200.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,970,2409886560,
"predict_8x8chroma_mode_available(unsigned int, int *, int *)",203,23,36,25.039409,5083.000000,23,36,25.039409,5083.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,265,2409680556,
"quant_4x4_dc(short[4] *, int[4][4] *, int)",29,171,171,171.000000,4959.000000,171,171,171.000000,4959.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,184,2409752552,
"predict_8x8c_dc_left(unsigned char *, int)",64,63,63,63.000000,4032.000000,63,63,63.000000,4032.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,214,2409800846,
"predict_8x8c_dc_top(unsigned char *, int)",60,60,60,60.000000,3600.000000,60,60,60.000000,3600.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,237,2409800698,
"x264_pps_write(struct bs_s *, struct x264_pps_t *)",2,809,809,809.000000,1618.000000,1241,1241,1241.000000,2482.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\set.c,408,2409868656,
x264_macroblock_cache_end(struct x264_t *),1,161,161,161.000000,161.000000,2375,2375,2375.000000,2375.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,990,2409669192,
"set_param_mkv(void *, struct x264_param_t *)",1,161,161,161.000000,161.000000,2307,2307,2307.000000,2307.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1918,2409814730,
dct4x4dc(short[4] *),29,69,69,69.000000,2001.000000,69,69,69.000000,2001.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,71,2409899864,
idct4x4dc(short[4] *),29,66,66,66.000000,1914.000000,66,66,66.000000,1914.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,105,2409899560,
"x264_mb_dequant_4x4_dc(short[4] *, int[4][4] *, int)",29,65,65,65.000000,1885.000000,65,65,65.000000,1885.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,192,2409658708,
